recipe,base,contrast,n_subjects,subjects,mean_contrast,median_contrast,sd_contrast_across_subjects,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_adapted_gt_zero,wilcoxon_p_adapted_lt_zero,subjects_adaptation_reduced_degradation,subjects_adaptation_worsened_delta,bh_fdr_q_adapted_gt_zero
eog,6,bci_adapted_minus_zero_shot_delta_accuracy,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.040625156375526494,0.044152046783625755,0.0573174404651106,0.005570631689517154,0.07594516156347488,0.037109375,0.97265625,7,2,0.07421875
eog,16,bci_adapted_minus_zero_shot_delta_accuracy,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.006848264229973091,-0.004830917874396134,0.054544454719655036,-0.022912474811007708,0.043370653216273515,0.544921875,0.5,4,5,0.544921875
