recipe,domain_condition,base,n_subjects,subjects,n_contamination_seed_pairs,n_checkpoint_seeds,raw_accuracy_subject_mean,noisy_accuracy_subject_mean,denoised_accuracy_subject_mean,mean_delta_accuracy,median_delta_accuracy,sd_delta_accuracy_across_subjects,bootstrap_ci95_low,bootstrap_ci95_high,n_bootstrap_subject_resamples,subjects_below_noisy_noisy,subjects_above_noisy_noisy,wilcoxon_p_denoised_lt_noisy,wilcoxon_p_denoised_gt_noisy,wilcoxon_p_two_sided,CC_subject_mean,RMSE_subject_mean,T_RRMSE_subject_mean,S_RRMSE_subject_mean,SDR_subject_mean,bh_fdr_q_denoised_lt_noisy,holm_p_denoised_lt_noisy
eog,bci_adapted_single_channel,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5758614561469082,-0.032646477475213466,-0.03216374269005847,0.05629596053428294,-0.06807823272681512,0.0010975862837254166,10000,7,2,0.064453125,0.951171875,0.12890625,0.8042198578516643,6.650863820535165,0.613869728203173,0.52004602043717,4.450260307170726,0.064453125,0.064453125
eog,bci_adapted_single_channel,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5529948243753503,-0.05551310924677146,-0.05674418604651163,0.049776065376334874,-0.08771979260775603,-0.026046646490220957,10000,8,1,0.005859375,0.99609375,0.01171875,0.7955659795690466,6.911219293099863,0.6383302518615016,0.5286489990022447,4.141173859878823,0.01171875,0.017578125
eog,zero_shot_external,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5352362997713818,-0.07327163385073997,-0.07631578947368423,0.06457125319912096,-0.11233816859413641,-0.033293330653194085,10000,8,1,0.009765625,0.994140625,0.01953125,0.6591945120581875,9.890099069807265,0.8896133780479432,1.0264423092206318,1.2056976148134304,0.013020833333333334,0.01953125
eog,zero_shot_external,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5461465601453771,-0.06236137347674456,-0.052991452991453,0.053404863161887396,-0.09571046140873217,-0.030572138408581258,10000,8,1,0.00390625,0.998046875,0.0078125,0.6617289141372398,9.86724904731468,0.8882284928251196,1.0055545484578168,1.2148304459259467,0.01171875,0.015625
