run_id,classifier,recipe,base,n_subjects,primary_independent_unit,mean_within_subject_delta_sd_over_all_nuisance,median_within_subject_delta_sd_over_all_nuisance,mean_within_subject_contamination_delta_sd,mean_within_subject_checkpoint_delta_sd,mean_within_subject_classifier_seed_delta_sd,note
hierarchical_downstream_stats_20260815_000000,eegconformer,eog_emg_line,6,9,subject,0.06670891219067762,0.06324576884931826,0.03005224015714782,0.011388241754818977,0.0379243068458256,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegconformer,eog_emg_line,16,9,subject,0.0655588122144424,0.06651409617497597,0.03268920834222606,0.01609715070644752,0.03379948819346534,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegnet,emg,6,9,subject,0.04826596989096592,0.049553385593013886,0.03197401105762744,0.009662821519986445,0.027899091574751428,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegnet,emg,16,9,subject,0.04883176887578379,0.04098088231123433,0.02858415829617075,0.010996303998909242,0.02476928546124802,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegnet,eog,6,9,subject,0.03662487436778819,0.03057363741357577,0.010142547806828606,0.013237748299400876,0.026925248456308636,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegnet,eog,16,9,subject,0.03425211489372865,0.03275811246528222,0.011277280318318079,0.009981674355754656,0.02321771276035466,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegnet,eog_emg_line,6,9,subject,0.04947288482368959,0.046259426231326166,0.023653601715033713,0.011246773224403853,0.027229219927898334,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,eegnet,eog_emg_line,16,9,subject,0.050440820364099595,0.05079174606036034,0.02134164259631086,0.011058082477605367,0.02547988154730355,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,shallowfbcsp,emg,6,9,subject,0.03286781288681953,0.03387193633347894,0.0225571465200052,0.0073073192046611115,0.011828720560989388,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,shallowfbcsp,emg,16,9,subject,0.03650075731105245,0.03770572569258648,0.02310668314639141,0.009072369777673507,0.012813175961115947,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,shallowfbcsp,eog,6,9,subject,0.037204668030718174,0.030955033698411908,0.018091821778894044,0.008894600730581296,0.023741359942051544,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,shallowfbcsp,eog,16,9,subject,0.03475369602853136,0.028895673672671266,0.014359365774984985,0.007117258227102054,0.024615231315900384,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,shallowfbcsp,eog_emg_line,6,9,subject,0.03475342179684449,0.03444257996965468,0.02170802823361701,0.007344864023488971,0.015064610053657014,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
hierarchical_downstream_stats_20260815_000000,shallowfbcsp,eog_emg_line,16,9,subject,0.035548741857043334,0.036608143194656495,0.023357538116165262,0.012147911202414239,0.01642517192349416,Nuisance variability is summarized separately and is not pooled into the inferential sample size.
