run_id,dataset,subject,base,n_checkpoints,train_seeds,n_eval_total_per_checkpoint,CC,MSE,RMSE,T_RRMSE,S_RRMSE,SDR,PSD_KLD,PSD_WD,source_file
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A01,2,3,42 43 44,816,0.6846669382519193,0.238890442583296,0.4758871462610032,0.7515130374166701,0.806935985883077,2.561195479498969,0.7779608170191447,8.466547277238634,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A01,4,3,42 43 44,816,0.7295436792903477,0.2021750277943081,0.4377094838354323,0.6924904055065578,0.7259459098180135,3.289498700035943,0.546691914399465,7.196685896979438,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A01,6,3,42 43 44,816,0.7366874085532295,0.196278765797615,0.4308811955981784,0.6821237868732876,0.6974817911783854,3.4346439838409424,0.4982221391465928,6.769190576341417,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A01,8,3,42 43 44,816,0.742039269871182,0.1927596231301625,0.4265228145652347,0.6748862597677443,0.6539527244038051,3.531625297334459,0.4662180708514319,6.7034436331854925,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A01,16,3,42 43 44,816,0.741284085644616,0.1918841633531782,0.4250010914272732,0.6723466846677992,0.6123115950160556,3.5732365714179144,0.4507406817542182,6.755079958173964,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A02,2,3,42 43 44,804,0.6626495454046462,0.2457287791702482,0.4820284148057301,0.7618317339155409,0.7278262244330512,2.4964814715915256,1.264188806215922,20.692957560221355,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A02,4,3,42 43 44,804,0.690681517124176,0.2232328057289123,0.4574074182245466,0.7226739393340217,0.662126726574368,2.992553340064154,1.0772787928581238,20.29831949869792,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A02,6,3,42 43 44,804,0.6938196221987407,0.2209464427497652,0.4546507199605306,0.7181267473432753,0.6497790614763896,3.0542319880591497,1.1152290768093531,20.27134047614204,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A02,8,3,42 43 44,804,0.6844287912050883,0.2227271182669533,0.4564929637644026,0.7208718458811442,0.6399890184402466,3.0215955045488148,1.1992446846432157,21.15730158487956,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,A02,16,3,42 43 44,804,0.672268807888031,0.2279323057995902,0.4619970056745741,0.7303536004490322,0.6678347918722365,2.9169705973731146,1.3408059941397772,21.906556023491756,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
