task,task_label,base,base_label,seed,epoch,train_loss,val_SDR,budget,lr,source_file,aggregation
emg,EMG,4,base4,42,31,0.0636688145321039,6.8425262062637895,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,32,0.0636453767085359,6.828869219179507,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,33,0.0636233231141453,6.821405322463424,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,34,0.0636215932667255,6.85348982281155,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,35,0.0635933915596632,6.81180637854117,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,36,0.0635718476204645,6.84919747599849,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,37,0.0635652074856417,6.870126053139016,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,38,0.0635044017185767,6.832314367647524,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,39,0.063498311028594,6.864977907251428,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,40,0.0635020573401735,6.840897560119629,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,41,0.063436657864423,6.855655087365045,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,42,0.0634334241173097,6.865145806913023,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,43,0.0634263006704194,6.879309442308214,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,44,0.0634110997475329,6.873998200451887,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,45,0.0634019809642008,6.856415059831408,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,46,0.0633907477947927,6.830975285282841,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,47,0.0633733093028976,6.889894944650155,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,48,0.0633653119206428,6.886084221027516,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,49,0.0633368045269023,6.890585369533962,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,50,0.0633624698257162,6.891016324361165,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,51,0.0633543848636604,6.8780203395419655,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,52,0.0633229601241293,6.895158485130027,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,53,0.0633172132784412,6.8974151611328125,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,54,0.0633238397716056,6.864217811160618,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,55,0.0632999248447872,6.844215181138781,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,56,0.063279684242748,6.857175191243489,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,57,0.0632674649357795,6.900942413895218,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,58,0.0632643441891386,6.899291762599239,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,42,59,0.0632764965650581,6.899234082963732,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
