row_order,row_label,dataset,classifier,recipe,base,subject,delta_accuracy_pp,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,source_file,row_type,n_subjects,mean_delta_accuracy_pp,ci95_low_pp,ci95_high_pp
2,CSP+LDA â€” EOG+EMG+LINE,BCI_IV2b,csp_lda,eog_emg_line,16,B09,-13.74999999999999,5.0,3.0,0.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B01,9.916666666666659,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B02,0.52777777777777,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B03,-3.91666666666666,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B04,2.95833333333333,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B05,-2.625,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B06,0.29166666666666,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B07,-12.16666666666666,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B08,-1.18055555555555,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,B09,5.56944444444444,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B01,4.874999999999989,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B02,5.77777777777777,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B03,-8.01388888888889,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B04,5.194444444444439,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B05,-3.08333333333333,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B06,5.81944444444444,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B07,-10.98611111111111,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B08,0.9861111111111,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,B09,8.22222222222222,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B01,2.70833333333333,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B02,5.51388888888888,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B03,-6.08333333333333,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B04,4.5138888888888795,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B05,-4.30555555555555,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B06,2.23611111111111,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B07,-11.45833333333333,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B08,-2.3194444444444398,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,B09,9.15277777777777,5.0,3.0,3.0,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_subject_width_summary.csv,subject,,,,
0,CSP+LDA â€” EOG,BCI_IV2b,csp_lda,eog,4,,,,,,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_width_inference.csv,mean_ci,9.0,2.7268518518518503,-2.26388888888888,8.27337962962962
1,CSP+LDA â€” EMG,BCI_IV2b,csp_lda,emg,4,,,,,,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_width_inference.csv,mean_ci,9.0,0.83333333333333,-3.59756944444444,5.04166666666666
2,CSP+LDA â€” EOG+EMG+LINE,BCI_IV2b,csp_lda,eog_emg_line,16,,,,,,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_width_inference.csv,mean_ci,9.0,-1.1666666666666599,-5.14814814814814,2.20833333333333
3,EEGNet â€” EOG,BCI_IV2b,eegnet,eog,6,,,,,,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_width_inference.csv,mean_ci,9.0,-0.06944444444444,-3.92754629629629,3.5742283950617204
4,EEGNet â€” EMG,BCI_IV2b,eegnet,emg,6,,,,,,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_width_inference.csv,mean_ci,9.0,0.97685185185185,-3.39197530864197,4.93981481481481
5,EEGNet â€” EOG+EMG+LINE,BCI_IV2b,eegnet,eog_emg_line,6,,,,,,runs/a8_bci2b_downstream_replication_20260815_170804/a8_bci2b_width_inference.csv,mean_ci,9.0,-0.004629629629628965,-4.09637345679012,3.89969135802469
