row_type,dataset,subject,base,CC,SDR,n_checkpoints,train_seeds,CC_mean,CC_ci95_low,CC_ci95_high,SDR_mean,SDR_ci95_low,SDR_ci95_high,n_subjects,source_file
subject,BCI_IV2a,A07,16,0.7937671211030748,4.480952103932698,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,2,0.7457658582263522,3.5203406280941434,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,4,0.7764474749565125,4.076062361399333,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,6,0.7806143893135918,4.137396812438965,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,8,0.7678575846883986,3.924966785642836,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A08,16,0.7604184084468417,3.786374171574911,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A09,2,0.7540799842940437,3.543810394075181,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A09,4,0.7852792077594334,4.11795695622762,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A09,6,0.7867530783017477,4.09674678908454,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A09,8,0.786063724093967,4.077654441197714,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2a,A09,16,0.7853515942891439,4.09194016456604,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B01,2,0.7337985436121623,3.191266324785021,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B01,4,0.7701469328668382,3.862685124079386,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B01,6,0.7708498239517212,3.833976639641656,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B01,8,0.7666387028164334,3.7131075859069824,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B01,16,0.7622248596615262,3.5893520514170327,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B02,2,0.6832057899898953,2.336841212378608,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B02,4,0.7075777451197306,2.9321156077914767,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B02,6,0.7059676316049364,2.966116984685262,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B02,8,0.7208960254987081,3.020471466912164,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B02,16,0.7157978614171346,2.93650394015842,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B03,2,0.7400191227595011,3.4500300619337296,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B03,4,0.7653862833976746,3.994623793496026,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B03,6,0.7679024073812697,4.037962251239353,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B03,8,0.7687910066710578,4.058780882093641,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B03,16,0.7678631742795309,4.036822107103136,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B04,2,0.762662774986691,3.85567569732666,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B04,4,0.7833771639400058,4.42203958829244,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B04,6,0.784271240234375,4.454268985324435,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B04,8,0.7859710786077712,4.484511719809638,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B04,16,0.7815587719281515,4.385003884633382,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
subject,BCI_IV2b,B05,2,0.7184514668252733,3.0627191066741943,3,42 43 44,,,,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
