accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,base,cohen_kappa_mean,cohen_kappa_std,condition,delta_accuracy_vs_raw_raw,macro_f1_mean,macro_f1_std,n_checkpoints,n_trials,raw_raw_accuracy,stratum,subject,train_seeds,trainable_parameters,variant,raw_accuracy_pct,denoised_accuracy_pct,delta_accuracy_pp,source_file
0.7986111111111112,0.0173611111111111,0.7986111111111112,0.0173611111111111,16,0.7314814814814814,0.0231481481481481,denoised_denoised,-0.0138888888888888,0.7981030936556569,0.0187301363765277,3,288,0.8125,all,A01,42 43 44,40262,base16,81.25,79.86111111111111,-1.38888888888888,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7542372881355932,0.0169491525423728,0.7357607751725399,0.0147284285575003,16,0.6705088859562164,0.0226911811974749,denoised_denoised,-0.0508474576271186,0.735329107074476,0.0156522720503456,3,118,0.8050847457627118,artifact_heavy_high_eog,A01,42 43 44,40262,base16,80.50847457627118,75.42372881355932,-5.08474576271186,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.8376068376068376,0.0195836568160505,0.8413526570048309,0.0163198530674999,16,0.778016842752999,0.0267053040495235,denoised_denoised,0.0427350427350428,0.8451804637863745,0.0185528077047477,3,78,0.7948717948717948,quiet_low_eog,A01,42 43 44,40262,base16,79.48717948717949,83.76068376068376,4.27350427350428,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.4606481481481481,0.010607814108694,0.4606481481481482,0.010607814108694,16,0.2808641975308641,0.0141437521449254,denoised_denoised,-0.1226851851851852,0.4515180641850481,0.0124329572781772,3,288,0.5833333333333334,all,A02,42 43 44,40262,base16,58.333333333333336,46.06481481481481,-12.26851851851852,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.4038461538461538,0.0064102564102564,0.4152487652487652,0.0083790833953068,16,0.2104591276754991,0.0084014987427555,denoised_denoised,-0.1538461538461538,0.4001756302768934,0.0097281921320667,3,156,0.5576923076923077,artifact_heavy_high_eog,A02,42 43 44,40262,base16,55.769230769230774,40.38461538461538,-15.38461538461538,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.5792349726775956,0.0094647585113053,0.5388556618819776,0.0081962533665243,16,0.421222926893923,0.0055265404692006,denoised_denoised,-0.0928961748633879,0.5131873241142969,0.0119916874030324,3,61,0.6721311475409836,quiet_low_eog,A02,42 43 44,40262,base16,67.21311475409836,57.92349726775956,-9.28961748633879,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7129629629629629,0.0262912423416679,0.7129629629629629,0.0262912423416679,16,0.6172839506172839,0.0350549897888906,denoised_denoised,-0.0300925925925926,0.6967513258390949,0.0306630279806167,3,288,0.7430555555555556,all,A03,42 43 44,40262,base16,74.30555555555556,71.29629629629629,-3.00925925925926,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7681159420289855,0.0522543663110723,0.75,0.0563367386791248,16,0.6869244062706732,0.0710771322138053,denoised_denoised,-0.0434782608695653,0.7401160241381487,0.0659296851436592,3,69,0.8115942028985508,artifact_heavy_high_eog,A03,42 43 44,40262,base16,81.15942028985508,76.81159420289855,-4.34782608695653,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.6564885496183206,0.0264435237796775,0.6929190110027507,0.0241992810048231,16,0.5521341469058175,0.0335514548361377,denoised_denoised,-0.0229007633587786,0.6566037998156476,0.0281352926409307,3,131,0.6793893129770993,quiet_low_eog,A03,42 43 44,40262,base16,67.93893129770993,65.64885496183206,-2.29007633587786,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.5474537037037037,0.03563612110727,0.5474537037037037,0.03563612110727,16,0.396604938271605,0.0475148281430266,denoised_denoised,-0.0879629629629629,0.523658607717015,0.0528643264033237,3,288,0.6354166666666666,all,A04,42 43 44,40262,base16,63.541666666666664,54.745370370370374,-8.796296296296289,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.5257452574525745,0.0462295992120108,0.5471688794057215,0.0470298837301404,16,0.3679019920660024,0.0601720553440927,denoised_denoised,-0.1571815718157182,0.5081509582317371,0.067691652441477,3,123,0.6829268292682927,artifact_heavy_high_eog,A04,42 43 44,40262,base16,68.29268292682927,52.574525745257446,-15.71815718157182,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.5476190476190477,0.0311739843194274,0.5198884307543051,0.0294591096658151,16,0.3814299898245956,0.0429247718204715,denoised_denoised,-0.0442176870748298,0.4991640373491294,0.0392395020234168,3,98,0.5918367346938775,quiet_low_eog,A04,42 43 44,40262,base16,59.183673469387756,54.761904761904766,-4.42176870748298,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.261574074074074,0.0171280654941536,0.261574074074074,0.0171280654941536,16,0.015432098765432,0.0228374206588714,denoised_denoised,-0.0960648148148148,0.1906238225165144,0.0448135013391299,3,288,0.3576388888888889,all,A05,42 43 44,40262,base16,35.76388888888889,26.1574074074074,-9.60648148148148,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.3333333333333333,0.1222222222222222,0.21999271999272,0.0569451974451777,16,-0.0058374681671088,0.0791686666280142,denoised_denoised,0.0888888888888888,0.1777856788483414,0.0509133345072416,3,90,0.2444444444444444,artifact_heavy_high_eog,A05,42 43 44,40262,base16,24.44444444444444,33.33333333333333,8.888888888888879,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.1548821548821548,0.1080068345612487,0.2275557861961598,0.0525004722672844,16,0.00338999968672,0.0209669317728636,denoised_denoised,-0.32996632996633,0.1119931461636742,0.0817847510693729,3,99,0.4848484848484848,quiet_low_eog,A05,42 43 44,40262,base16,48.48484848484848,15.488215488215479,-32.996632996633004,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.4756944444444444,0.0250385505240554,0.4756944444444444,0.0250385505240555,16,0.3009259259259259,0.0333847340320739,denoised_denoised,0.0069444444444444,0.464286939259394,0.0268443675385247,3,288,0.46875,all,A06,42 43 44,40262,base16,46.875,47.56944444444444,0.69444444444444,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.5093632958801498,0.0282765334654335,0.5145392047565961,0.0326770182216926,16,0.3407892247798857,0.038647184052536,denoised_denoised,-0.0187265917602995,0.5061312945840502,0.0391236208603685,3,89,0.5280898876404494,artifact_heavy_high_eog,A06,42 43 44,40262,base16,52.80898876404494,50.936329588014985,-1.87265917602995,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.4393939393939394,0.0367404716757034,0.4385775862068966,0.041658039775626,16,0.250569027535299,0.0503146572416156,denoised_denoised,-0.006060606060606,0.4259784926988577,0.0449908751552451,3,110,0.4454545454545454,quiet_low_eog,A06,42 43 44,40262,base16,44.54545454545454,43.93939393939394,-0.6060606060606,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.5462962962962963,0.0020046884346862,0.5462962962962963,0.0020046884346862,16,0.3950617283950617,0.0026729179129149,denoised_denoised,-0.0474537037037037,0.4656106180971868,0.0027715198365144,3,288,0.59375,all,A07,42 43 44,40262,base16,59.375,54.629629629629626,-4.74537037037037,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7222222222222222,0.0068732174903526,0.5366499442586399,0.0031377732021175,16,0.5053318818173225,0.009834565608503,denoised_denoised,-0.0277777777777777,0.5168483590786415,0.0056764946989624,3,84,0.75,artifact_heavy_high_eog,A07,42 43 44,40262,base16,75.0,72.22222222222221,-2.77777777777777,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.4249084249084249,0.0063445084526332,0.5309983896940419,0.0055042306416567,16,0.2897010494708659,0.0074672613355457,denoised_denoised,-0.0476190476190476,0.3677058567534758,0.0055993449250639,3,91,0.4725274725274725,quiet_low_eog,A07,42 43 44,40262,base16,47.25274725274725,42.49084249084249,-4.76190476190476,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7534722222222222,0.0151350657761828,0.7534722222222222,0.0151350657761828,16,0.6712962962962963,0.0201800877015771,denoised_denoised,-0.0416666666666666,0.744112470916589,0.0170864240537822,3,288,0.7951388888888888,all,A08,42 43 44,40262,base16,79.51388888888889,75.34722222222221,-4.16666666666666,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.751937984496124,0.0067133752231351,0.7455357142857143,0.0156694287439643,16,0.6661252484785029,0.0113487813188615,denoised_denoised,-0.0503875968992247,0.7388755868553999,0.0087213991288015,3,86,0.8023255813953488,artifact_heavy_high_eog,A08,42 43 44,40262,base16,80.23255813953489,75.1937984496124,-5.03875968992247,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7759103641456583,0.0174929915921523,0.7548912198912199,0.0150961470304969,16,0.6953890252765504,0.0239764361533479,denoised_denoised,-0.0392156862745097,0.7483899353132919,0.0138964197024941,3,119,0.8151260504201681,quiet_low_eog,A08,42 43 44,40262,base16,81.5126050420168,77.59103641456583,-3.92156862745097,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
0.7905092592592593,0.0087382343000819,0.7905092592592593,0.0087382343000819,16,0.720679012345679,0.0116509790667758,denoised_denoised,-0.0081018518518518,0.7810051266801146,0.0032659847980848,3,288,0.7986111111111112,all,A09,42 43 44,40262,base16,79.86111111111111,79.05092592592592,-0.8101851851851799,runs/a12_real_bci2a_eog_stratified_downstream_20260816_142449/a12_real_downstream_subject_aggregates.csv
