recipe,recipe_label,classifier,classifier_label,metric,metric_label,oriented_slope,bh_fdr_q,outlined_bh_fdr_q_lt_0_05,n_observations,n_subjects,source_file
eog,EOG,deep4net,Deep4Net,SDR,SDR,0.0024763609402352,0.9505473575988468,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,csp_lda,CSP+LDA,CC,CC,0.5575999646622142,0.1872960548918255,False,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,csp_lda,CSP+LDA,RMSE,RMSE,0.0745963074717807,0.0243751489323807,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,csp_lda,CSP+LDA,T_RRMSE,T-RRMSE,0.7991174168468014,0.0155959058389128,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,csp_lda,CSP+LDA,S_RRMSE,S-RRMSE,0.4149989861023266,0.0044946177004193,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,csp_lda,CSP+LDA,SDR,SDR,0.0601139402165586,0.0150110692075042,True,1125,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,shallowfbcsp,ShallowFBCSPNet,CC,CC,0.3990118599563305,0.0387368615385465,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,shallowfbcsp,ShallowFBCSPNet,RMSE,RMSE,0.0451827570205218,0.0657170358650038,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,shallowfbcsp,ShallowFBCSPNet,T_RRMSE,T-RRMSE,0.4723498292040394,0.0324438376708006,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,shallowfbcsp,ShallowFBCSPNet,S_RRMSE,S-RRMSE,0.2190853454094982,0.0243751489323807,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,shallowfbcsp,ShallowFBCSPNet,SDR,SDR,0.0399233654036421,0.0324438376708006,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegconformer,EEGConformer,CC,CC,0.7695431757184542,0.1808125653939684,False,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegconformer,EEGConformer,RMSE,RMSE,0.0931165294347078,0.0188841241402544,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegconformer,EEGConformer,T_RRMSE,T-RRMSE,1.0355639136805583,0.006663492258291,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
emg,EMG,eegconformer,EEGConformer,S_RRMSE,S-RRMSE,0.3646771662931002,0.0016967707772853,True,162,9,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
