run_id,dataset,base,n_subjects,subjects,CC_mean,CC_median,CC_sd,CC_ci95_low,CC_ci95_high,MSE_mean,MSE_median,MSE_sd,MSE_ci95_low,MSE_ci95_high,RMSE_mean,RMSE_median,RMSE_sd,RMSE_ci95_low,RMSE_ci95_high,T_RRMSE_mean,T_RRMSE_median,T_RRMSE_sd,T_RRMSE_ci95_low,T_RRMSE_ci95_high,S_RRMSE_mean,S_RRMSE_median,S_RRMSE_sd,S_RRMSE_ci95_low,S_RRMSE_ci95_high,SDR_mean,SDR_median,SDR_sd,SDR_ci95_low,SDR_ci95_high,PSD_KLD_mean,PSD_KLD_median,PSD_KLD_sd,PSD_KLD_ci95_low,PSD_KLD_ci95_high,PSD_WD_mean,PSD_WD_median,PSD_WD_sd,PSD_WD_ci95_low,PSD_WD_ci95_high,source_file
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,2,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.7014665868547227,0.6977217197418213,0.0624729157148048,0.6603148461491974,0.7375098442221865,0.2239312064132572,0.2250525487793816,0.0403774304360051,0.2007648602679924,0.2506362236576315,0.4601345691415998,0.4657566414939033,0.0409811639943464,0.4368017795829125,0.4867303823799262,0.7287109913649382,0.7368350889947679,0.0625861690105179,0.6921918208216443,0.7704363390251442,0.6872015606473993,0.712549520863427,0.1368696441233068,0.6046935520238347,0.7735546575192316,2.8854990976828114,2.7794708675808377,0.7447325072901775,2.4060915876317908,3.3219999414167285,0.8357044375605054,0.7779608170191447,0.3912326107626256,0.6017528163660087,1.0774566954576674,11.821994116276873,8.466547277238634,6.628583108355382,7.875671266479257,16.020188319535904,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,4,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.7343563739164376,0.7295436792903477,0.061981141679026,0.6944034680908109,0.7715444393915895,0.1988163500288386,0.2021750277943081,0.0402082225193637,0.175244469149613,0.2245401141866121,0.4319848524935452,0.4377094838354323,0.0442651599557588,0.4051865661401808,0.4602157664151839,0.6849143225469707,0.6924904055065578,0.0686436722430252,0.6432482812875584,0.7292187735622311,0.6211341347223447,0.6102857324812148,0.1264776582523849,0.5463247917868473,0.7026764621337254,3.468048913979236,3.289498700035943,0.8784308462060569,2.9262238353122902,4.006804105013977,0.6645687170970587,0.546691914399465,0.3805846350479504,0.4430931462089957,0.9094754586801116,10.925748801525728,7.196685896979438,6.930180289484383,6.8711761490798295,15.292983713856447,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.7373700907200943,0.7366874085532295,0.0645968836729667,0.6959224047668185,0.7740043783077488,0.1967849957722204,0.196278765797615,0.0409736956614934,0.1726894709845016,0.2227808005555912,0.4291624555617203,0.4308811955981784,0.0453598448517952,0.4020578357816479,0.4576261691105218,0.6807464191943039,0.6821237868732876,0.0706830862849842,0.6374519224520082,0.7246240884617523,0.6073146407251004,0.5937484701474508,0.1184015288592007,0.5390084087204786,0.6845144923362466,3.5385530142136563,3.4346439838409424,0.9111907516582386,2.972746260298623,4.095511513138995,0.6564660603985374,0.4982221391465928,0.4084207371004936,0.417093496079798,0.926297202890302,10.70030446700108,6.769190576341417,7.06738808687957,6.443824680351916,14.992041326010668,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,8,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.7374883757697211,0.742039269871182,0.062255597668763,0.6981973545050916,0.7748721937890407,0.1971398864263369,0.1927596231301625,0.0395897470815106,0.1731137220276359,0.2223157652688246,0.4291899277840131,0.4265228145652347,0.0445497218739387,0.4015779469484164,0.4563490087511362,0.6805517967836356,0.6748862597677443,0.0696227285221296,0.6385328795254966,0.722754898722525,0.5969574017289244,0.5828756822480096,0.1014150271242123,0.5379743465670832,0.6630232281890917,3.5472705864611966,3.531625297334459,0.907497356174078,2.9985056733643565,4.112966031277621,0.6784802426894506,0.4662180708514319,0.4328635455928901,0.4244096208731701,0.9578348833699653,10.978691775121806,6.7034436331854925,7.40774384118681,6.593855190865788,15.797284496787151,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2a,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.7346726126141018,0.741284085644616,0.0623574223935307,0.6963431595468227,0.7723117309955903,0.1975076531554445,0.1918841633531782,0.0384103651508602,0.1738321396625704,0.2206073682985188,0.4296631106623897,0.4250010914272732,0.0440003672243997,0.4022058443890678,0.4566751747955511,0.6815933783849081,0.6723466846677992,0.0689388255450426,0.638919762623163,0.7221110861242553,0.5864870500417403,0.5845558510886298,0.0920266440188125,0.5323697689690708,0.6450067014054016,3.53830243923046,3.5732365714179144,0.9078189966667914,2.997684204504813,4.110896810778865,0.7152006098149735,0.4507406817542182,0.4704827036304074,0.4444477663685877,1.0129370921325906,11.292796888469178,6.755079958173964,7.709439594238154,6.688782548757247,16.161150869911097,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,2,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,0.7267104703703045,0.7354674206839668,0.0379042301360691,0.702585478734087,0.7475629360587508,0.2177579426839028,0.2097943094041612,0.0246478206709314,0.2038521532245256,0.2342850594010985,0.4517003371391767,0.4453350371784634,0.026629941271269,0.4363436257581652,0.4692372339835137,0.7095571476736187,0.7021121117803786,0.0427517473642471,0.685306079796067,0.7368746024958881,0.6276046961178015,0.6174608336554633,0.1004852539310288,0.5693453082607851,0.6909395809526797,3.150805568989413,3.2262902789645724,0.5380835454500393,2.80579725018254,3.4629407979088067,0.5412677901762504,0.4165952172544268,0.2486147803802253,0.4036493286720396,0.7056564666422798,6.387707427695945,4.875823842154609,3.605261976295675,4.577359741926193,8.899689826626831,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,4,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,0.7528697193404774,0.7653862833976746,0.0364794101269584,0.7284322814257057,0.7731859499841561,0.1961538778778947,0.1885382963551415,0.0227909585353058,0.183105959062591,0.2110041085722638,0.427364100276688,0.4210099445448981,0.0256691059333016,0.4128380632234944,0.4438333490748465,0.6728150204375938,0.6718069447411431,0.0410359820507735,0.6484375952754492,0.6988496372177277,0.561732166711195,0.5552984277407329,0.0845558350592772,0.5122894476685259,0.6172370251774052,3.6619931650750432,3.699232578277588,0.5461190819018694,3.304061324876032,3.9888801927919735,0.4229512775753751,0.3213100300894843,0.2164377158980118,0.3008520047237843,0.5650310119407043,5.623162849449817,3.820136467615763,3.6759265963005294,3.774148737942731,8.130395453800388,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,6,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,0.7535883695990951,0.7679024073812697,0.0383060454003986,0.7282542377526376,0.7745692316764666,0.1966239791593433,0.1903473552730348,0.0237570678874517,0.1830521637412868,0.2116518250862021,0.4272663468196068,0.4229629702038235,0.026559344898339,0.411817337213843,0.4439327520260839,0.6733099317845004,0.6754979822370741,0.0425745673431679,0.6484964060930558,0.7005936893600004,0.5584611944210383,0.5324109461572435,0.0821165925665088,0.5108552856301819,0.6094653674757775,3.675918540836853,3.66023924615648,0.5635299881273697,3.323635662632224,4.012147378627165,0.4086314991668418,0.295918411678738,0.2297405590649109,0.2830658383299539,0.5604421647242557,5.464405725031723,3.686528020434909,3.7384432208689335,3.5826864756183863,7.977135475770926,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,8,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,0.7541589972413616,0.7666387028164334,0.0372669953527754,0.7286995789151133,0.7740449374840582,0.1982332574732509,0.1943199005391862,0.0238461247306028,0.1842087731133272,0.2133158428295527,0.4285777763084128,0.4270305633544922,0.0268427508038641,0.4124739233818318,0.4453880056002994,0.6751694686618852,0.6823665499687195,0.0431389223457496,0.649333052797082,0.7020893354474763,0.5582101595254592,0.5428400701946683,0.0722576821332898,0.5158062889988041,0.6037971715868254,3.660090575983495,3.58461078008016,0.5741924608364591,3.2990969540160378,4.009638729066023,0.4091179495976295,0.2922145856751336,0.2381177914605683,0.2805025251053366,0.571551725121192,5.521064587581305,3.6937616401248503,3.864306876645829,3.6544533003259594,8.143700691800056,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,16,9,B01 B02 B03 B04 B05 B06 B07 B08 B09,0.749751924732585,0.7622248596615262,0.039534926899829,0.7233222274132717,0.7706067444365702,0.2023975269662009,0.1996990938981374,0.0252083385456024,0.1872517396362475,0.2189463075296378,0.4328824557639934,0.4330398639043172,0.0281110126466376,0.4157665583178585,0.4505575849778123,0.681992048834577,0.6894586284955343,0.0454490799830538,0.6547397195005122,0.7103987063890622,0.5597674894480058,0.5561535888248019,0.071224912465105,0.5185641136526324,0.6051695719361305,3.577241464897438,3.499913533528646,0.5952180117153176,3.202550185094645,3.940023442845285,0.4132861277939361,0.2919284701347351,0.2534418881254908,0.2803520282293543,0.5872671282907695,5.585150415514723,3.6219095389048257,3.991051295859063,3.643347213076957,8.374184507941019,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv
