run_id,recipe,recipe_label,classifier,classifier_label,base,subject,delta_accuracy,baseline_accuracy_mean,processed_accuracy_mean,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,primary_independent_unit,source_file
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegconformer,EEGConformer,16,A08,-0.053437201038677,0.6937269372693727,0.6402897362306956,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegconformer,EEGConformer,16,A09,-0.0074354657687991,0.6822390572390572,0.6748035914702581,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A01,0.0317648609463556,0.55001977066034,0.5817846316066957,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A02,-0.0172752257557911,0.2893600314095014,0.2720848056537102,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A03,-0.0522317188983855,0.7134717134717135,0.6612399945733279,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A04,-0.0597790773229369,0.4473684210526316,0.3875893437296946,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A05,-0.0085882984433709,0.2801932367149758,0.2716049382716049,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A06,0.0287683031869078,0.296640826873385,0.3254091300602929,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A07,0.0171145875116994,0.385880465302848,0.4029950528145474,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A08,-0.04236709033757,0.5707257072570726,0.5283586169195025,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,eegnet,EEGNet,16,A09,-0.0043490460157126,0.5526094276094276,0.5482603815937149,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A01,-0.0972716488730723,0.6330565440885726,0.5357848952155002,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A02,-0.1404266457269991,0.4185316058107577,0.2781049600837587,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A03,-0.0662053995387328,0.7244607244607245,0.6582553249219916,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A04,-0.0698505523066926,0.4736842105263158,0.4038336582196231,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A05,-0.0148953301127214,0.2918679549114332,0.2769726247987117,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A06,-0.0304909560723514,0.3891472868217054,0.358656330749354,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A07,-0.080224628961091,0.4721219414360209,0.3918973124749298,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A08,-0.019543528768621,0.6297662976629766,0.6102227688943556,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,emg,EMG,shallowfbcsp,ShallowFBCSPNet,16,A09,-0.012766554433221,0.6304713804713805,0.6177048260381593,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A01,-0.0828469750889679,0.7864768683274022,0.7036298932384342,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A02,-0.1426148409893992,0.5151943462897527,0.3725795053003533,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A03,-0.0502564102564102,0.7472527472527473,0.696996336996337,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A04,-0.0514035087719298,0.6078947368421053,0.5564912280701755,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A05,0.0133333333333333,0.2666666666666666,0.28,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A06,-0.0297674418604651,0.4781395348837209,0.4483720930232558,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A07,-0.1126353790613718,0.5740072202166066,0.4613718411552346,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A08,-0.0335055350553505,0.7645756457564575,0.7310701107011071,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,csp_lda,CSP+LDA,16,A09,-0.0275757575757575,0.7363636363636363,0.7087878787878787,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A01,0.0013180440226703,0.5231316725978647,0.5244497166205351,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A02,-0.0217249051171312,0.2701217118178249,0.2483968067006936,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A03,0.0748880748880748,0.4704924704924705,0.5453805453805454,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A04,0.0019493177387914,0.3123781676413255,0.3143274853801169,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A05,-0.0224100912506709,0.2753623188405797,0.2529522275899087,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A06,0.0127476313522825,0.283204134366925,0.2959517657192075,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A07,0.0730044123545928,0.3196951464099478,0.3926995587645407,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A08,0.014350143501435,0.4128741287412874,0.4272242722427224,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,deep4net,Deep4Net,16,A09,0.0126262626262626,0.6414141414141414,0.654040404040404,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A01,-0.0127850270199024,0.6378015025701859,0.6250164755502834,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A02,-0.0427954456223007,0.315272870043188,0.2724774244208873,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A03,-0.0478903812237145,0.6809116809116809,0.6330212996879664,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegconformer,EEGConformer,16,A04,-0.0264782326185834,0.4054580896686159,0.3789798570500325,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
