classifier,recipe,metric,metric_direction,bases,checkpoint_seeds,contamination_seed_pairs,n_observations,n_subjects,subject_intercept_slope_oriented,subject_intercept_cluster_se,subject_intercept_p_two_sided,subject_centered_pearson_r,subject_centered_spearman_r,bh_fdr_q_subject_intercept,source_file,statistical_source
csp_lda,emg,SDR,higher_better,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.0601139402165586,0.0137769673697209,0.0024017710732006,0.3227910149547791,0.3659124581554841,0.0150110692075042,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv,Full condition-level subject-intercept model; values are not recomputed from display-aggregated points
csp_lda,eog,SDR,higher_better,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.00116645091682,0.022135867262302,0.9592669478932956,0.0064916200327331,-0.0238957256309833,0.9592669478932956,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv,Full condition-level subject-intercept model; values are not recomputed from display-aggregated points
shallowfbcsp,eog_emg_line,SDR,higher_better,6 16,42 43 44,1 2 3,162,9,0.0416281166391084,0.0053892254685153,5.615727948882794e-05,0.2435172511921716,0.2640902183864571,0.0016967707772853,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv,Full condition-level subject-intercept model; values are not recomputed from display-aggregated points
