run_id,budget,task,base,lr,epoch,metric,mean,sd,se,n,seeds,base_label,source_file
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,8,val_CC,0.8335930042796664,0.0003564842886826,0.0002520724579139,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,9,train_loss,0.064957757666707,9.558054779077264e-05,6.758565349238022e-05,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,9,val_SDR,6.674569730405454,0.0410837738679208,0.0290506150987415,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,9,val_CC,0.8346662024656932,0.0003124876618204,0.0002209621447104,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,10,train_loss,0.0647953577960531,0.0001745772263829,0.0001234447406161,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,10,val_SDR,6.700906762370357,0.0256716516719631,0.0181525989815041,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,10,val_CC,0.8351004841151062,0.0002188373644292,0.0001547413843649,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,11,train_loss,0.0646531506751974,0.000167255917398,0.0001182677933857,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,11,val_SDR,6.7191505961947975,0.0471303418306423,0.0333261843080872,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,11,val_CC,0.8356946077611711,0.0006107499817713,0.00043186545372,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,12,train_loss,0.0645157011491911,0.0002151408460907,0.0001521275511809,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,12,val_SDR,6.699305357756439,0.003116244319232,0.002203517489963,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,12,val_CC,0.8355072615323242,6.433013977715409e-05,4.548827807110411e-05,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
a6_optimization_convergence_audit_20260815_000000,extended,emg,4,0.001,13,train_loss,0.0644264826373685,0.0002467483357521,0.0001744774214568,2,42 43,base4,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv
