row_type,panel,recipe,classifier,classifier_label,base,subject,delta_accuracy,mean_delta_accuracy,bootstrap_ci95_low,bootstrap_ci95_high,n_subjects_for_inference,primary_independent_unit,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,source_file,aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A03,-0.0478903812237145,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A04,-0.0264782326185834,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A05,-0.0267042404723564,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A06,0.0439276485788113,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A07,-0.0311538975798903,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A08,0.020090200902009,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegconformer,EEGConformer,16,A09,-0.0063131313131313,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EOG,eog,eegconformer,EEGConformer,16,,,-0.0144558340410065,-0.0312986875462806,0.0055008754107375,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EOG,eog,eegnet,EEGNet,16,A01,-0.0146302886516409,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A02,-0.0014396021463159,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A03,0.0181793515126848,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A04,0.0133203378817413,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,eegnet,EEGNet,16,A05,-0.0356951154052603,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
