classifier,recipe,subject,base,oriented_sdr,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seed_values,classifier_label,recipe_label,source_file
csp_lda,emg,A06,16,3.7230737018585205,-0.08055813953488368,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A07,2,2.807533760070801,-0.10353790613718405,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A07,4,3.3296329593658447,-0.057472924187725594,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A07,6,3.4651367378234865,-0.06093862815884471,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A07,8,3.547940092086792,-0.07032490974729237,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A07,16,3.577731990814209,-0.058628158844765306,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A08,2,2.7147216987609863,-0.09549815498154977,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A08,4,2.858979024887085,-0.06819188191881914,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A08,6,2.842927532196045,-0.07955719557195567,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A08,8,2.8182666301727295,-0.09003690036900366,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A08,16,2.8011140251159667,-0.09490774907749074,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A09,2,4.100537109375,-0.06439393939393939,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A09,4,4.690596218109131,-0.061363636363636356,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A09,6,4.773259315490723,-0.023333333333333338,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A09,8,4.744386692047119,-0.04272727272727273,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,emg,A09,16,4.7096288299560545,-0.015,25,5,5,0,CSP+LDA,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
