dataset_panel,artifact,width,base,seed,parameters,CC,source_file,run_dir
EEGDenoiseNet EMG,emg,base6,6,46,6532,0.8410128951072693,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_emg_base6_seed46
EEGDenoiseNet EMG,emg,base8,8,42,10990,0.8427336812019348,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base8_seed42
EEGDenoiseNet EMG,emg,base8,8,43,10990,0.8433422446250916,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base8_seed43
EEGDenoiseNet EMG,emg,base8,8,44,10990,0.8420588374137878,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base8_seed44
EEGDenoiseNet EMG,emg,base8,8,45,10990,0.8428810834884644,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_emg_base8_seed45
EEGDenoiseNet EMG,emg,base8,8,46,10990,0.8427901268005371,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_emg_base8_seed46
EEGDenoiseNet EMG,emg,base10,10,42,16592,0.8431373238563538,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base10_seed42
EEGDenoiseNet EMG,emg,base10,10,43,16592,0.8440460562705994,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base10_seed43
EEGDenoiseNet EMG,emg,base10,10,44,16592,0.843686044216156,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base10_seed44
EEGDenoiseNet EMG,emg,base12,12,42,23338,0.8442990779876709,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base12_seed42
EEGDenoiseNet EMG,emg,base12,12,43,23338,0.8440022468566895,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base12_seed43
EEGDenoiseNet EMG,emg,base12,12,44,23338,0.8439058065414429,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base12_seed44
EEGDenoiseNet EMG,emg,base16,16,42,40262,0.8406802415847778,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base16_seed42
EEGDenoiseNet EMG,emg,base16,16,43,40262,0.8439701199531555,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base16_seed43
EEGDenoiseNet EMG,emg,base16,16,44,40262,0.8441333770751953,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_emg_base16_seed44
EEGDenoiseNet EMG,emg,base16,16,45,40262,0.8417152166366577,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_emg_base16_seed45
