recipe,domain_condition,base,n_subjects,subjects,n_contamination_seed_pairs,n_checkpoint_seeds,raw_accuracy_subject_mean,noisy_accuracy_subject_mean,denoised_accuracy_subject_mean,mean_delta_accuracy,median_delta_accuracy,sd_delta_accuracy_across_subjects,bootstrap_ci95_low,bootstrap_ci95_high,n_bootstrap_subject_resamples,subjects_below_noisy_noisy,subjects_above_noisy_noisy,wilcoxon_p_denoised_lt_noisy,wilcoxon_p_denoised_gt_noisy,wilcoxon_p_two_sided,CC_subject_mean,RMSE_subject_mean,T_RRMSE_subject_mean,S_RRMSE_subject_mean,SDR_subject_mean,bh_fdr_q_denoised_lt_noisy,holm_p_denoised_lt_noisy,mean_delta_accuracy_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,source_file
eog,bci_adapted_single_channel,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5758614561469082,-0.0326464774752134,-0.0321637426900584,0.0562959605342829,-0.0680782327268151,0.0010975862837254,10000,7,2,0.064453125,0.951171875,0.12890625,0.8042198578516643,6.650863820535165,0.613869728203173,0.52004602043717,4.450260307170726,0.064453125,0.064453125,-3.2646477475213396,-6.807823272681509,0.10975862837254,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_domain_inference.csv
eog,bci_adapted_single_channel,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5529948243753503,-0.0555131092467714,-0.0567441860465116,0.0497760653763348,-0.087719792607756,-0.0260466464902209,10000,8,1,0.005859375,0.99609375,0.01171875,0.7955659795690466,6.911219293099863,0.6383302518615016,0.5286489990022447,4.141173859878823,0.01171875,0.017578125,-5.55131092467714,-8.7719792607756,-2.60466464902209,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_domain_inference.csv
eog,zero_shot_external,6,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5352362997713818,-0.0732716338507399,-0.0763157894736842,0.0645712531991209,-0.1123381685941364,-0.033293330653194,10000,8,1,0.009765625,0.994140625,0.01953125,0.6591945120581875,9.890099069807263,0.8896133780479432,1.0264423092206318,1.2056976148134304,0.0130208333333333,0.01953125,-7.32716338507399,-11.23381685941364,-3.3293330653194,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_domain_inference.csv
eog,zero_shot_external,16,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,5,3,0.6071616948714788,0.6085079336221217,0.5461465601453771,-0.0623613734767445,-0.052991452991453,0.0534048631618873,-0.0957104614087321,-0.0305721384085812,10000,8,1,0.00390625,0.998046875,0.0078125,0.6617289141372398,9.86724904731468,0.8882284928251196,1.0055545484578168,1.2148304459259467,0.01171875,0.015625,-6.23613734767445,-9.57104614087321,-3.05721384085812,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_domain_inference.csv
