recipe,base,contrast,n_subjects,subjects,mean_contrast,median_contrast,sd_contrast_across_subjects,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p_adapted_gt_zero,wilcoxon_p_adapted_lt_zero,subjects_adaptation_reduced_degradation,subjects_adaptation_worsened_delta,bh_fdr_q_adapted_gt_zero,source_file
eog,6,bci_adapted_minus_zero_shot_delta_accuracy,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.0406251563755264,0.0441520467836257,0.0573174404651106,0.0055706316895171,0.0759451615634748,0.037109375,0.97265625,7,2,0.07421875,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_adaptation_contrasts.csv
eog,16,bci_adapted_minus_zero_shot_delta_accuracy,9,A01 A02 A03 A04 A05 A06 A07 A08 A09,0.006848264229973,-0.0048309178743961,0.054544454719655,-0.0229124748110077,0.0433706532162735,0.544921875,0.5,4,5,0.544921875,runs/a9_bci_domain_shift_single_channel_20260815_211702/a9_adaptation_contrasts.csv
