artifact,width,base,seed,parameters,CC,source_file,run_dir
EOG,base4,4,45,3218,0.8981603980064392,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base4_seed45
EOG,base4,4,46,3218,0.897542417049408,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base4_seed46
EOG,base6,6,42,6532,0.904794991016388,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base6_seed42
EOG,base6,6,43,6532,0.9060389399528505,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base6_seed43
EOG,base6,6,44,6532,0.8988013863563538,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base6_seed44
EOG,base6,6,45,6532,0.905343532562256,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base6_seed45
EOG,base6,6,46,6532,0.904827356338501,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base6_seed46
EOG,base8,8,42,10990,0.9072588086128236,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base8_seed42
EOG,base8,8,43,10990,0.9088496565818788,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base8_seed43
EOG,base8,8,44,10990,0.9072689414024352,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base8_seed44
EOG,base8,8,45,10990,0.9055678248405457,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base8_seed45
EOG,base8,8,46,10990,0.9085266590118408,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base8_seed46
EOG,base16,16,42,40262,0.9148211479187012,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base16_seed42
EOG,base16,16,43,40262,0.91508287191391,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base16_seed43
EOG,base16,16,44,40262,0.9137660264968872,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base16_seed44
EOG,base16,16,45,40262,0.9151591062545776,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base16_seed45
EOG,base16,16,46,40262,0.9149618148803712,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base16_seed46
