row_type,panel,panel_title,condition_label,condition,delta_reference,subject,denoiser_label,display_label,model_order,delta_balanced_accuracy,mean_delta_balanced_accuracy,ci95_low,ci95_high,n_source_rows,n_subjects,n_checkpoint_seeds,n_contamination_pairs,n_train_contamination_seeds,n_test_contamination_seeds,source_file,aggregation
mean_ci,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,,base2,base2,0,,-0.0566906851550331,-0.0694550090846815,-0.0443795163165713,,75.0,5,5.0,,,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_summary.csv,Mean and 95% subject-bootstrap CI across 75 subjects
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC400,base2,base2,0,-0.07868756917616619,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC401,base2,base2,0,-0.015727372551872402,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC402,base2,base2,0,-0.14361513207160526,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC403,base2,base2,0,-0.027224761656763564,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC404,base2,base2,0,-0.05108024258097585,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC405,base2,base2,0,-0.048023753227340586,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC406,base2,base2,0,-0.09456442062070806,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC407,base2,base2,0,-0.12141189448752472,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC408,base2,base2,0,-0.05293372247708267,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC409,base2,base2,0,-0.030510655866724384,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC410,base2,base2,0,-0.14192380003907223,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC411,base2,base2,0,-0.15695894610876093,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC412,base2,base2,0,-0.008393728595496624,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC414,base2,base2,0,-0.011434104534104204,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC415,base2,base2,0,-0.13522561011891912,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC416,base2,base2,0,0.02146544446838566,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC417,base2,base2,0,-0.053617546797877794,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC418,base2,base2,0,-0.16838602274345593,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC419,base2,base2,0,-0.028977189382726948,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC420,base2,base2,0,-0.049838702980914966,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC421,base2,base2,0,-0.1402161775430449,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC422,base2,base2,0,-0.02215624905774156,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC423,base2,base2,0,-0.09867965383337853,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC424,base2,base2,0,-0.01450264116182666,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC425,base2,base2,0,-0.030271285604650786,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC426,base2,base2,0,-0.031171647151571988,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC427,base2,base2,0,-0.008942316283604637,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC428,base2,base2,0,-0.09407269529687409,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC429,base2,base2,0,-0.04222558070722929,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC430,base2,base2,0,-0.05868125691274506,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC431,base2,base2,0,-0.06356537757390002,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC432,base2,base2,0,0.008444403907718617,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC433,base2,base2,0,-0.060142800200139616,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC434,base2,base2,0,-0.011138118850346948,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC435,base2,base2,0,-0.039097454013440835,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC437,base2,base2,0,-0.0736934769346076,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC438,base2,base2,0,0.050585095886703006,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC440,base2,base2,0,0.018772468030595957,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC441,base2,base2,0,-0.05904761494398128,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC442,base2,base2,0,-0.04280934575012358,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC443,base2,base2,0,-0.03971548789870297,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC444,base2,base2,0,-0.009648171085801847,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC445,base2,base2,0,-0.06679392618510441,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC446,base2,base2,0,-0.011183086516371881,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC447,base2,base2,0,-0.18716176450014643,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC448,base2,base2,0,-0.05645186939888822,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC449,base2,base2,0,-0.050472752300777766,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC450,base2,base2,0,-0.030580872987799677,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC451,base2,base2,0,-0.07722924752329681,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC453,base2,base2,0,-0.07438353008707248,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC454,base2,base2,0,-0.07776040309439022,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC455,base2,base2,0,-0.010268031491258205,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC456,base2,base2,0,-0.07603102203488765,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC457,base2,base2,0,-0.0036843892148869517,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC458,base2,base2,0,0.026245545427883057,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC459,base2,base2,0,-0.20738427971967346,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC460,base2,base2,0,-0.030473732649280466,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC461,base2,base2,0,-0.07523495098442157,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC462,base2,base2,0,-0.10085147886911466,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC463,base2,base2,0,-0.11275035199806921,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC464,base2,base2,0,-0.03885856772128121,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC465,base2,base2,0,-0.07027514046847474,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC466,base2,base2,0,-0.020892103555385354,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC467,base2,base2,0,-0.053465015922101955,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC470,base2,base2,0,-0.002698026306668193,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC471,base2,base2,0,-0.15436326222490426,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC472,base2,base2,0,-0.0042630138176762,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC473,base2,base2,0,-0.06313704720109453,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC474,base2,base2,0,-0.02212879379219723,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC475,base2,base2,0,0.011775788809266597,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC476,base2,base2,0,0.06874477579662097,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC477,base2,base2,0,-0.1296435069859752,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC480,base2,base2,0,-0.13631998381607724,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC481,base2,base2,0,-0.1299455738970468,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC482,base2,base2,0,-0.024836656868528473,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
mean_ci,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,,base4,base4,1,,-0.0634056121461694,-0.0769672887618251,-0.0502910831561414,,75.0,5,5.0,,,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_summary.csv,Mean and 95% subject-bootstrap CI across 75 subjects
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC400,base4,base4,1,-0.08984030172515567,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC401,base4,base4,1,-0.025978286330900352,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC402,base4,base4,1,-0.17634520047044716,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
subject,A,Synthetic-EOG evaluation,Sleep-EDF + synthetic EOG,denoised_denoised,noisy/noisy,SC403,base4,base4,1,-0.05759063266905026,,,,25.0,,5,,5.0,5.0,runs/sleep_edf_formal_all_subjects_20260817_010000/sleep_edf_formal_downstream_rows.csv,Human subject-level effect after averaging checkpoint and contamination nuisance repetitions
