classifier,recipe,subject,base,sdr_db,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_train_contamination_seeds,n_test_contamination_seeds,n_checkpoint_seeds,n_classifier_seed_values,subject_mean_sdr_db,subject_mean_delta_accuracy,centered_sdr_db,centered_delta_accuracy,source_file,aggregation
csp_lda,emg,A04,6,2.8869946956634522,-0.16438596491228064,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,0.08527964210510275,0.010631578947368436,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,8,2.9546428108215332,-0.16631578947368414,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,0.15292775726318375,0.008701754385964933,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A04,16,2.991602449417114,-0.17210526315789468,25,5,5,5,5,0,2.8017150535583495,-0.17501754385964907,0.18988739585876457,0.002912280701754394,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A05,2,0.36057902097702027,-0.0033333333333333036,25,5,5,5,5,0,0.3415987553596496,-0.0004057971014492526,0.01898026561737065,-0.002927536231884051,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A05,4,0.3380871582031249,0.005362318840579744,25,5,5,5,5,0,0.3415987553596496,-0.0004057971014492526,-0.003511597156524715,0.005768115942028997,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A05,6,0.3202728712558746,0.007536231884057965,25,5,5,5,5,0,0.3415987553596496,-0.0004057971014492526,-0.021325884103775006,0.007942028985507218,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A05,8,0.32926835179328917,-0.00507246376811592,25,5,5,5,5,0,0.3415987553596496,-0.0004057971014492526,-0.012330403566360448,-0.004666666666666667,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A05,16,0.3597863745689392,-0.006521739130434748,25,5,5,5,5,0,0.3415987553596496,-0.0004057971014492526,0.018187619209289574,-0.0061159420289854955,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A06,2,3.033376178741455,-0.11609302325581389,25,5,5,5,5,0,3.454894365310669,-0.09763720930232553,-0.42151818656921414,-0.01845581395348836,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A06,4,3.356069221496582,-0.10176744186046506,25,5,5,5,5,0,3.454894365310669,-0.09763720930232553,-0.09882514381408702,-0.004130232558139532,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
