task,task_label,metric,metric_label,base,base_label,epoch,mean,se,sd,n,seeds,budget,lr,source_file,aggregation
emg,EMG,train_loss,Training loss,4,base4,22,0.0637706994655586,0.0002412427216768,0.0003411687288191,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,23,0.0637174807666313,0.0002347503034841,0.0003319870629584,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,24,0.063672258084019,0.0002209084729353,0.0003124117584683,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,25,0.0636379585645738,0.0002239790079849,0.0003167541507791,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,26,0.0636080745164127,0.0002296426023046,0.0003247636826778,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,27,0.0635901264580232,0.0002369383704804,0.0003350814569799,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,28,0.0635411133900994,0.0002234795973414,0.0003160478774739,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,29,0.0634775846486999,0.0002369608907472,0.0003351133054467,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,30,0.0634675314117755,0.0002465962742765,0.0003487397955126,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,31,0.0634423812762612,0.0002264332558427,0.0003202249813851,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,32,0.0634214042286787,0.0002239724798571,0.0003167449186123,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,33,0.0633914158812591,0.0002319072328862,0.0003279663539601,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,34,0.0633675866893359,0.0002540065773895,0.0003592195466763,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,35,0.0633468444503489,0.0002465471093143,0.0003486702657562,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,36,0.0633282052175629,0.0002436424029015,0.0003445623905525,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,37,0.0633322765784604,0.0002329309071813,0.0003294140480317,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,38,0.0632776186136262,0.0002267831049504,0.000320719742738,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,39,0.0632694744283244,0.0002288366002695,0.0003236238236686,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,40,0.0632534143647977,0.0002486429753757,0.0003516342679652,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,41,0.0632186630563367,0.0002179948080863,0.0003082912141226,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,42,0.0632119701554377,0.0002214539618719,0.0003131831963205,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,43,0.063193922028655,0.0002323786417643,0.0003286330267889,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,44,0.0631830177580316,0.0002280819895012,0.0003225566428856,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,45,0.0631855133122631,0.0002164676519376,0.0003061314891853,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,46,0.0631638546518626,0.0002268931429301,0.0003208753599412,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,47,0.063139293129955,0.0002340161729426,0.0003309488455901,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,48,0.0631166386018906,0.0002486733187522,0.0003516771799797,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,49,0.0630964000310216,0.0002404044958807,0.0003399832985299,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,50,0.0631246695028884,0.0002378003228278,0.0003363004416798,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,51,0.0631019070123632,0.0002524778512971,0.0003570576015032,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,52,0.0630891772519264,0.0002337828722028,0.0003306189085198,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,53,0.0630913670396521,0.0002258462387891,0.0003193948139064,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,54,0.0630796480746496,0.000244191696956,0.0003453392096541,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,55,0.0630678329261995,0.0002320919185876,0.0003282275389838,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,56,0.0630535374439898,0.0002261467987582,0.0003198198698912,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,57,0.0630340216947453,0.0002334432410342,0.0003301385975149,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,58,0.0630342824118478,0.0002300617772908,0.0003253564856283,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,59,0.0630415563072477,0.0002349402578104,0.0003322556989429,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,60,0.0630409274250269,0.0002199784276031,0.0003110964757458,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,61,0.0630349331934537,0.0002425094179454,0.0003429601078616,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,62,0.0630189863166638,0.0002402621188334,0.0003397819469786,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,63,0.0629990945082335,0.0002349414286159,0.0003322573547119,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,64,0.0630114020070149,0.0002246858906887,0.0003177538338859,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,65,0.0629941687165271,0.0002252086997032,0.0003184931974846,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,66,0.0630071029244434,0.0002386602262655,0.0003375165287838,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,67,0.0630081781585301,0.0002329098947701,0.0003293843319947,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,68,0.0629920718659247,0.0002331529078739,0.000329728004422,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,69,0.0629894812458327,0.0002472614514685,0.0003496804981189,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,70,0.0629984187760523,0.0002341813274792,0.0003311824093756,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,71,0.0629828914645172,0.0002378690100851,0.0003363975801306,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,72,0.0630196336834203,0.0002307008064928,0.0003262602093926,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,73,0.0629873312921041,0.0002265074334683,0.0003203298843893,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,74,0.0629976656021816,0.0002215450097407,0.0003133119574514,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,4,base4,75,0.0629775567955914,0.0002354095024721,0.0003329193111076,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,1,0.1366836874967529,0.002517313084432,0.003560018304743,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,2,0.0769196032058625,0.0014843189290591,0.0020991439603625,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
